# rounds;# its;best ilp;#unique cols;mipgap;ilp runtime;total runtime
200;10000;4806.245940758646;1034;0.17228265097099255;300.01342701911926;302.3241319
200;10000;4755.370342843424;1135;0.16327079549706172;300.0181701183319;302.4725499
200;10000;4743.264208890795;1059;0.1849578166432273;300.01710200309753;302.4198697
200;10000;4902.859387336571;1088;0.17383093819735018;300.01467299461365;302.4447785
200;10000;4706.756914669769;1104;0.17042308094560504;300.0108230113983;302.4920842
200;50000;4465.709644881791;1214;0.16605539630800292;300.00990200042725;308.0448444
200;50000;4529.780302596101;1212;0.17411288325068996;300.00685000419617;307.8902457
200;50000;4565.350607498722;1184;0.18936882366861432;300.01175594329834;307.9361047
200;50000;4511.267091972787;1216;0.18392494301770043;300.01671385765076;308.0854201
200;50000;4441.272540545638;1235;0.16034995841109306;300.01052498817444;308.0157588
200;100000;4546.278319756663;1273;0.1974132245800653;300.00895714759827;314.3401449
200;100000;4430.475787521678;1221;0.1636066446823667;300.01179599761963;314.8934558
200;100000;4398.584443060492;1210;0.13560469679958817;300.0324239730835;314.8277386
200;100000;4531.588112070079;1245;0.1908862541308594;300.013081073761;315.2716368
200;100000;4417.936946803593;1306;0.17220207306545937;300.01783514022827;315.0008497
200;500000;4413.394203727126;1267;0.16721709874310825;300.0177810192108;369.4937836
200;500000;4419.328143030102;1306;0.18038228682922486;300.01016092300415;369.5873756
200;500000;4345.296385378271;1286;0.16988855844748976;300.01769495010376;369.6561697
200;500000;4391.590295888037;1295;0.18132286816380838;300.0121200084686;369.3889916
200;500000;4486.657042048552;1269;0.1881950524960638;300.0094850063324;370.0463449
500;1000;5019.936467570003;2860;0.15338765975142882;300.015517950058;302.587225
500;1000;5162.133699693025;2874;0.15160596351664576;300.01478815078735;302.448968
500;1000;5121.20445908796;2807;0.16689510438672345;300.01874113082886;302.4765213
500;1000;4988.984917300798;2847;0.1300544742373994;300.0126848220825;302.5035893
500;1000;5122.102624241767;2799;0.13916842104309995;300.0164999961853;302.528955
500;10000;4437.723315255307;2764;0.1670947279038786;300.0137860774994;306.1778842
500;10000;4408.341388362751;2888;0.17122801643144028;300.01114892959595;306.2770423
500;10000;4485.680078766185;2882;0.18417681213981674;300.0098440647125;306.4467507
500;10000;4616.089336192443;2781;0.20495030505605866;300.025022983551;306.2213779
500;10000;4598.1420341606245;2757;0.19845029345249546;300.01399207115173;306.0827911
500;50000;4260.768126715833;3307;0.17499563027210252;300.0135850906372;322.0155137
500;50000;4205.643809520999;3176;0.1631893387540465;300.0077528953552;321.5583811
500;50000;4177.255304442589;3280;0.1570430579363428;300.01132011413574;322.0958455
500;50000;4186.658488375099;3344;0.15646617084464373;300.0105130672455;321.7818568
500;50000;4152.384067807876;3336;0.1521318091396999;300.01533007621765;321.8932323
500;100000;4192.08328746439;3274;0.16460807279530737;300.0102140903473;340.0491026
