max vh cols;max cr colsint vsp value;int csp value;int vsp cols;int csp cols;int vsp selected cols;int csp selected cols;mipgap;mip runtime;total runtime
2500;500;3987.8685845645077;11759.66666666667;2500;2280;13;20;9.609729808505915E-11;152.6487090587616;297.624398
2500;500;3386.353620650424;12348.249999999998;2500;2264;10;21;0;152.83059406280518;376.6988593
2500;500;3607.902797663869;11970.75;2500;2271;11;21;8.333853001463211E-11;152.75654196739197;340.2164116
2500;500;3821.5698349992244;12274.583333333336;2500;2279;12;21;0;151.4071900844574;302.9151141
2500;500;3615.94356610452;11949.083333333334;2500;2283;11;21;8.333867949391265E-11;153.98472118377686;314.3388723
2500;2500;3386.353620650424;12503.500000000002;2500;4313;10;22;0.005603265120688765;600.0219211578369;750.7124425
2500;2500;3413.053530636861;12245.666666666666;2500;4297;10;22;8.571986402655865E-11;154.49048709869385;306.3436009
2500;2500;3592.5290303095276;12274.583333333334;2500;4265;11;21;9.167232793786699E-11;236.72711300849915;410.0824441
2500;2500;3620.6413293823753;11721.75;2500;4329;11;20;0;155.87937593460083;364.4994061
2500;2500;3400.451482390025;12321.16666666667;2500;4355;10;21;5.714637874420841E-11;153.72561311721802;308.9899388
2500;5000;3386.353620650424;12472.083333333334;2500;6985;10;22;0;151.85894083976746;329.8124396
2500;5000;4031.192162048885;11916.000000000002;2500;7035;13;21;8.977330311342769E-05;152.15262603759766;322.1709571
2500;5000;3387.33706747489;12232.916666666668;2500;6808;10;21;0;153.62941980361938;318.9112069
2500;5000;3386.353620650424;12269.166666666664;2500;6793;10;21;9.569739079404535E-05;153.33447790145874;327.3321106
2500;5000;3386.353620650424;12337.416666666666;2500;6822;10;21;7.500491807848912E-11;157.37019610404968;368.0276385
2500;10000;3592.513626421857;12082.000000000002;2500;11405;11;20;0;155.87120604515076;382.9891849
2500;10000;3387.33706747489;12196.083333333334;2500;9626;10;21;3.0656203578025514E-11;152.03466820716858;319.3882873
2500;10000;3386.353620650424;12347.166666666668;2500;9577;10;21;3.710132801703027E-05;154.89680099487305;339.3704821
2500;10000;3799.1841166379554;11506.166666666668;2500;9822;12;20;6.957056831795705E-05;151.33528304100037;338.4282814
2500;10000;3387.162854433423;12223.666666666668;2500;11855;10;21;1.1104585355574991E-05;156.48888611793518;381.58892
2500;25000;3387.33706747489;12191.750000000002;2500;9137;10;21;5.0003307330473025E-11;152.90496587753296;347.2920792
2500;25000;3386.353620650424;12386.166666666668;2500;12270;10;21;0.00024656516602071776;600.0248448848724;860.554868
2500;25000;3612.4927165577747;11754.25;2500;10304;11;20;0;153.39373087882996;375.8467653
2500;25000;3387.33706747489;12187.41666666667;2500;12551;10;21;0;158.84666991233826;387.8946263
2500;25000;3592.739156891007;11801.916666666666;2500;7848;11;20;3.7397109525657117E-11;151.18522095680237;327.9351811
5000;500;3784.765043684286;11807.333333333334;5000;2269;12;20;0;153.76980304718018;315.546548
5000;500;3593.986383346138;12017.333333333336;5000;2281;11;21;0;152.28408408164978;316.9918508
5000;500;3800.769149837749;11730.416666666668;5000;2270;12;20;3.149586716864902E-11;152.73037600517273;306.9785357
5000;500;3592.3517200472147;12107.750000000002;5000;2270;11;21;5.714660497944646E-11;150.9762408733368;327.9827727
5000;500;3393.5808435819336;12248.583333333332;5000;2265;10;21;0;151.85396099090576;326.3633401
5000;2500;3615.927033622772;12172.750000000002;5000;4272;11;21;0;153.93040704727173;332.0770236
5000;2500;3387.33706747489;12232.916666666666;5000;4295;10;21;3.581278715815006E-11;155.05437302589417;322.6168206
5000;2500;3387.1628544334235;12232.333333333334;5000;4270;10;21;0;152.9518268108368;365.2327606
5000;2500;3594.147723700801;12212.333333333336;5000;4255;11;21;7.778274277787321E-11;159.34286189079285;342.902453
5000;2500;3386.353620650424;12239.916666666668;5000;4291;10;21;8.333869152649076E-11;379.5397138595581;558.6885129
5000;5000;3615.927033622772;12165.166666666668;5000;6787;11;21;0;158.25165104866028;354.5063718
5000;5000;3387.33706747489;12176.583333333334;5000;6828;10;21;5.87516992313536E-05;184.8657989501953;419.2256748
5000;5000;3386.353620650424;12455.833333333338;5000;6788;10;22;0;160.43091797828674;355.0007489
5000;5000;3592.3517200472147;12104.500000000002;5000;6796;11;21;0;154.4575400352478;382.9882764
5000;5000;3600.2621651445406;12156.000000000002;5000;6839;11;21;0;154.9034080505371;346.7039291
5000;10000;3590.592084460205;12233.416666666668;5000;8867;11;21;6.667092504324043E-11;157.31972789764404;377.2890331
5000;10000;3610.609816102544;12131.583333333336;5000;8523;11;21;0;157.62105703353882;337.8832285
5000;10000;3387.33706747489;12112.666666666668;5000;9607;10;21;0;157.53352189064026;377.6368811
5000;10000;3626.023373624912;12119.666666666668;5000;8567;11;21;0;152.28776383399963;313.5510219
5000;10000;3386.353620650424;12351.500000000002;5000;9199;10;21;4.001756444779228E-11;157.69693517684937;351.7991733
5000;25000;3387.33706747489;12143.000000000002;5000;9185;10;21;0;154.36549997329712;376.4345088
5000;25000;3386.353620650424;12245.333333333336;5000;12326;10;21;0;161.6033480167389;452.7053549
5000;25000;3386.353620650424;12363.416666666668;5000;8891;10;21;0;160.81090712547302;344.7801918
5000;25000;3391.248045743946;12282.16666666667;5000;11506;10;21;0;154.04878497123718;379.9204479
5000;25000;3400.451482390025;12320.083333333336;5000;7790;10;21;8.182046923887196E-05;153.72387409210205;354.9920481
10000;500;3593.1109152012623;11781.333333333334;10000;2268;11;20;2.1758268051732214E-11;151.68198585510254;332.8887263
10000;500;3593.183019964717;12361.249999999998;10000;2254;11;21;0;157.84634685516357;349.3782947
10000;500;3615.7334021229385;12088.749999999998;10000;2261;11;21;4.206758876536281E-11;152.381493806839;353.9186828
10000;500;3386.353620650424;12414.333333333336;10000;2263;10;21;0;153.07563495635986;348.2850423
10000;500;3602.291637740754;12075.25;10000;2264;11;21;0;156.14721989631653;363.1373055
