instance;sec n;sec m;ls rounds;ls maxIts;seq vsp cols;seq csp cols;seq vsp selected cols;seq csp selected cols;seq csp selected single;seq vsp value;seq csp value;seq vsp pullout;seq vsp tripdriving;seq vsp tripkwh;seq vsp dhdriving;seq vsp dhkwh;seq vsp idlekwh;seq vsp batterydeg;seq csp blockhours;seq csp blockdrivinghours;seq csp breakhours;seq vsp mip runtime;seq vsp mip gap;seq vsp runtime;seq csp mip runtime;seq csp mip gap;seq csp runtime
../../data/leiden-3-4-14;16;4;0;500000;33042;4617;11;23;0;3731.46357;13500.33333;2200;103.8565;950.494688;10.71475;98.061392;33.65333333;334.6829066;138.9333333;124.8333333;22.38333333;300.0550001;0.003908513;307.8757939;78.31999993;0;230.595824
../../data/leiden-3-4-14;16;4;5;500000;20514;4523;11;22;1;3735.361741;23124.08333;2200;104.46915;956.1016608;6.8027;62.2583104;35.62666667;370.1032527;132.5333333;120.7666667;25.1;300.115;0.003032945;308.9940514;75.67999983;9.33E-05;155.8065374
../../data/leiden-3-4-14;16;4;50;500000;15147;4495;11;22;0;3658.426574;12886.83333;2200;101.6696;930.4801792;10.093;92.371136;11.89333333;311.9193257;130;117.3333333;24.63333333;105.8239999;0;154.2879883;129.312;0;283.9039375
../../data/leiden-3-4-14;16;8;0;500000;34428;5278;11;21;0;3768.966808;12862.75;2200;105.6245;966.675424;8.36635;76.5688352;41.76;369.9716983;134.7166667;121.4833333;22.3;300.076;0.02467999;307.7687997;75.31299996;8.89E-05;548.7408807
../../data/leiden-3-4-14;16;8;5;500000;19473;3953;11;22;0;3744.109438;13189.08333;2200;105.53225;965.831152;10.89495;99.7105824;28.58666667;333.5538366;135.75;121.9166667;22.88333333;97.97200012;0;106.8042888;75.86800003;0;132.236343
../../data/leiden-3-4-14;16;8;50;500000;13715;4187;11;22;0;3642.871824;12744.5;2200;101.5807;929.6665664;9.36735;85.7299872;8.906666667;307.6205535;128.45;117.2333333;25.53333333;97.89300013;0;149.7600476;188.756;0;269.4024192
../../data/leiden;4;4;0;500000;40959;2496;18;36;0;6364.070573;21965.41667;3600;203.11905;1858.945546;9.2923;85.0431296;22.77333333;584.8972147;233.7;224.85;31.76666667;300.332;0.028860721;333.17331;120.0569999;0;221.3649396
../../data/leiden;4;4;5;500000;34406;2843;18;36;0;6347.368399;21732;3600;201.33225;1842.592752;9.0164;82.5180928;27.09333333;584.8155706;231.2333333;222.8833333;29.58333333;300.1589999;0.023873737;324.05581;300.0240002;0.001097987;500.1272348
../../data/leiden;4;4;50;500000;33590;2608;18;38;0;6321.60088;21553.41667;3600;200.01835;1830.567939;9.4825;86.78384;17.86666667;576.881584;228.7333333;219.9666667;29.41666667;300.1849999;0.024572973;355.3564643;139.2319999;0;303.6368744
../../data/leiden;4;8;0;500000;42666;2787;18;37;0;6351.024966;21775.16667;3600;200.862;1838.289024;10.4923;96.0255296;20.64;584.716112;231.65;221.5166667;30.33333333;300.1420002;0.024223465;334.0729382;300.0089998;0.001752316;509.9213529
