#rounds / 20;its;csp value;cost breakdown;unique cols;selected cols;dummy cols;hourly cost dummy cols;mipgap;mip time;total time
25;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.38333333333334);216;44;3;292.5;0;75.25200009;91.5602926
25;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 69.06666666666666);219;44;3;292.5;0;75.28900003;91.2790722
25;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.66666666666667);212;44;3;292.5;0;75.21300006;91.682394
25;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.25);219;44;3;292.5;0;75.33400011;91.5782046
25;100000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.38333333333334);217;44;3;292.5;0;75.20800018;91.7447486
25;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.66666666666667);216;44;3;292.5;0;75.102;154.2150652
25;500000;320630.5;(0, 0, 0, 0, 0, 0, 245.7, 169.01666666666668, 147.55, 69.55);209;44;3;292.5;0;75.28499985;155.8704198
25;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.66666666666667);219;44;3;292.5;0;75.25300002;157.8033286
25;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.81666666666666);209;44;3;292.5;7.62E-05;75.14199996;157.5093458
25;500000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 67.7);213;44;3;292.5;0;75.12999988;157.5193209
25;1000000;320803.8333;(0, 0, 0, 0, 0, 0, 248.36666666666667, 170.83333333333334, 148.93333333333334, 70);215;44;3;292.5;9.75E-05;75.37100005;233.8632026
25;1000000;320803.8333;(0, 0, 0, 0, 0, 0, 248.36666666666667, 170.83333333333334, 148.93333333333334, 70.4);214;44;3;292.5;0;75.52400017;234.0766536
25;1000000;320803.8333;(0, 0, 0, 0, 0, 0, 248.36666666666667, 170.81666666666666, 148.91666666666666, 70.1);205;44;3;292.5;0;75.13900018;234.8941189
25;1000000;320598;(0, 0, 0, 0, 0, 0, 245.2, 169.03333333333333, 147.56666666666666, 68.61666666666666);210;44;3;292.5;0;75.3440001;235.4397357
25;1000000;320695.5;(0, 0, 0, 0, 0, 0, 246.7, 169.01666666666668, 147.55, 70.23333333333333);204;44;3;292.5;0;75.14899993;234.82969
25;5000000;320862.3333;(0, 0, 0, 0, 0, 0, 249.26666666666668, 171.05, 149.08333333333334, 70.63333333333334);203;44;3;292.5;0;75.11000013;924.2064417
25;5000000;320894.8333;(0, 0, 0, 0, 0, 0, 249.76666666666668, 171.05, 149.08333333333334, 71.28333333333333);201;44;3;292.5;0;75.09399986;931.4235348
