# rounds;# its;best direct;best ilp;#unique cols;mipgap;ilp runtime;total runtime
25;1000000;3404.981040785656;3384.8315418076954;3208;0;81.81711006164551;147.6499762
25;1000000;3416.7733795844624;3389.353255119814;3221;0;85.40834784507751;151.0213444
25;5000000;3408.4515617561237;3385.00693245664;2952;0;84.51863098144531;426.5305659
25;5000000;3406.6839052241357;3384.557113211119;2910;0;90.6054379940033;433.6318194
25;5000000;3404.980101831187;3385.010536219497;2960;0;82.84630298614502;425.0216265
25;5000000;3392.8504329619877;3384.5566610212986;2985;0;83.93074607849121;426.1353325
25;5000000;3409.0342068836953;3384.514633591618;2973;0;85.76548194885254;427.0385208
50;50000;4642.470693364824;3621.0606007366737;7104;0;139.3764410018921;146.064229
50;50000;4630.88344360707;3624.4236975232257;6969;0;194.3169310092926;200.9674254
50;50000;4630.288196676712;3655.3886622153746;7021;0;294.36930799484253;301.0354547
50;50000;4612.85302877654;3623.1796600205403;6979;0;170.2906789779663;177.075099
50;50000;4811.902665943916;3638.7013202132584;7022;0;276.42493295669556;283.1325028
50;100000;4225.543748473853;3590.6561006545808;5730;0.032222697870440804;300.0095088481903;312.91007
50;100000;4202.084200117832;3600.243048158819;5757;0.03600858004695005;300.02184295654297;312.8849283
50;100000;4412.769609396992;3586.2007150215586;5749;0.02861558844370291;300.01563787460327;312.680739
50;100000;4401.6575662270825;3591.1800948391124;5718;0.029639271869816894;300.0119779109955;313.0912141
50;100000;4218.2153945159;3586.7980450440896;5729;0.031505222371106374;300.00959396362305;313.0676603
50;500000;3793.4153012147904;3384.557113211119;5415;0;82.10680389404297;147.6111603
50;500000;3593.9942922497926;3386.690405795459;5432;0;84.93840503692627;150.7704263
50;500000;3786.738824144138;3384.5600860233412;5488;0;89.63216495513916;155.3499063
50;500000;3615.5249000899275;3384.557113211119;5357;0;91.7147650718689;157.5207456
50;500000;3797.1398809188095;3384.5629244289403;5435;0;84.67162203788757;150.2698374
50;1000000;3407.1850855889597;3384.559137214853;5031;0;102.80364203453064;237.5582952
50;1000000;3413.4889557386996;3384.5555603992757;5136;0;87.72570705413818;223.3805979
50;1000000;3417.4420195913167;3384.5556798378093;5130;0;90.72956895828247;225.5453911
50;1000000;3411.422889781544;3384.5566606840066;5052;0;89.07758498191833;223.9114233
50;1000000;3406.6822433437005;3384.555679837809;5063;0;85.14560294151306;219.8154105
50;5000000;3404.4802405856854;3384.5566610212986;4611;0;94.76719903945923;798.4398556
50;5000000;3407.13919266991;3384.5634666759925;4549;0;99.51733899116516;797.5735676
50;5000000;3404.4781062710863;3384.5566610212986;4647;0;97.868155002594;800.020299
50;5000000;3404.4781062710863;3384.5571132111186;4588;0;101.78619885444641;800.0552145
50;5000000;3408.4617462460133;3384.557113211119;4620;0;109.12315106391907;807.439881
