instance;sec n;sec m;ls rounds;ls maxIts;seq vsp value;seq csp value;seq vsp cols;seq csp cols;seq vsp selected cols;seq csp selected cols;seq csp selected single;vsp mipgap;vsp mip runtime;vsp total runtime;csp mipgap;csp mip runtime;csp total runtime
../../data/leiden-1-2;4;4;0;500000;3435.82783527776;13004.916666666668;10020;664;10;23;0;0.015184853681531635;300.0092239379883;301.8588216;0;75.17237782478333;77.2457435
../../data/leiden-1-2;4;4;5;500000;3389.5001709448757;11665.25;7914;919;10;21;0;0;127.25944089889526;137.0747024;0;75.11141300201416;77.2020587
../../data/leiden-1-2;4;4;50;500000;3364.23326815161;11499.500000000004;9056;864;10;21;0;0;114.75078201293945;201.3202418;0;0.08314681053161621;2.3789678
../../data/leiden-1-2;4;8;0;500000;3413.5706200625923;13753.5;10927;730;10;23;1;0.0015918807953381319;300.0217170715332;302.0346052;0;75.3345320224762;78.6120131
../../data/leiden-1-2;4;8;5;500000;3388.918727419975;12713.250000000004;8843;1006;10;22;1;0.01337394331372197;300.02541303634644;309.9416373;1.4479854181076578E-07;0.6859750747680664;5.0297211
../../data/leiden-1-2;4;8;50;500000;3367.0400492092604;11769.583333333334;11527;902;10;22;0;0;267.458389043808;355.2207037;0;0.09119796752929688;3.5074724
../../data/leiden-1-2;8;4;0;500000;3402.9770916795633;12703.75;13041;1013;10;23;0;0.028584244732022538;300.02176880836487;302.7527463;0;75.20490193367004;78.7909121
../../data/leiden-1-2;8;4;5;500000;3380.194952060704;11626.250000000004;7657;1165;10;21;0;5.0014753833914297E-11;115.30373001098633;125.0916641;0;0.26288914680480957;3.9684979
../../data/leiden-1-2;8;4;50;500000;3363.9885243257045;11554.750000000002;9285;994;10;21;0;0;146.56682586669922;233.5295125;0;0.24756598472595215;2.7953707
../../data/leiden-1-2;8;8;0;500000;3419.519012638031;14890.416666666668;10949;935;10;24;2;0;117.31556487083435;119.3979498;0;75.42310094833374;80.9515035
../../data/leiden-1-2;8;8;5;500000;3366.001341248856;12526.833333333334;8977;943;10;22;0;0;123.57680892944336;134.1410196;0;75.54087996482849;79.8633088
../../data/leiden-1-2;8;8;50;500000;3363.8980770933363;11428.749999999998;10419;1042;10;20;0;0;148.7155840396881;236.6894299;0;75.23627090454102;80.4200786
../../data/leiden-3-4-14;4;4;0;500000;3766.224348254909;13164.083333333334;17273;2882;11;23;0;0;193.59029912948608;198.9067111;0;75.7117850780487;168.3088377
../../data/leiden-3-4-14;4;4;5;500000;3711.8450322415715;13388.833333333332;8843;2349;11;23;0;0;104.19579601287842;113.8742036;0;77.74227023124695;143.6307053
../../data/leiden-3-4-14;4;4;50;500000;3655.3955929620706;13249.499999999996;11237;2276;11;24;0;0;117.59341788291931;192.6744964;0.002996333985262583;300.04416513442993;396.5711686
../../data/leiden-3-4-14;4;8;0;500000;3781.691366010318;13226.75;15686;4672;11;24;0;0;134.4544539451599;139.5579696;0;75.42176604270935;483.4543559
../../data/leiden-3-4-14;4;8;5;500000;3708.5681967629907;13537.833333333334;9207;2041;11;23;0;0;114.9145290851593;124.8787939;0;120.92729592323303;195.2714201
../../data/leiden-3-4-14;4;8;50;500000;3643.7535296722544;12877.666666666668;11599;2567;11;22;0;0;118.41031002998352;194.8870402;0;80.97168898582458;177.0784934
../../data/leiden-3-4-14;8;4;0;500000;3766.0708707358117;13385.33333333333;28930;3032;11;24;0;0.002855781817799702;300.03250193595886;306.6759416;0;89.6798939704895;224.6666882
../../data/leiden-3-4-14;8;4;5;500000;3772.3963671426327;13496.666666666668;14635;4276;11;23;0;0;117.2681360244751;128.0272731;6.215308147196032E-05;96.30841994285583;371.7049164
../../data/leiden-3-4-14;8;4;50;500000;3652.9162636025403;14188.083333333334;15490;3047;11;22;1;0;156.56942796707153;234.1670499;0;83.21035408973694;173.4270418
../../data/leiden-3-4-14;8;8;0;500000;3734.62846554591;13312.666666666664;28444;4948;11;22;0;0;218.02465105056763;226.3993801;0;79.28730010986328;375.6782058
../../data/leiden-3-4-14;8;8;5;500000;3748.833748138458;13627.75;15579;4215;11;23;0;0;113.1960699558258;124.1773431;0;89.68030905723572;261.9717381
../../data/leiden-3-4-14;8;8;50;500000;3660.790588697113;14094.500000000002;15868;3449;11;24;1;0;157.14943718910217;236.4828544;0;83.57145810127258;336.7312056
../../data/leiden;4;4;0;500000;6430.078772237068;22438.083333333332;44586;3255;18;37;0;0.03253996222952813;300.05797004699707;342.1629359;0.0013341297104022655;300.01094102859497;391.4366567
../../data/leiden;4;4;5;500000;6370.052879846232;22105.000000000004;28123;2682;18;37;0;0.0269946048699766;300.04519391059875;325.3292043;0;81.79322409629822;129.3194766
